url,locale,is_pb,panel_grids,panel_rows,widget_count,recipe,rare,has_rare
https://www.skoda-storyboard.com/en/emobility/meet-peaq-safe-and-comfortable/,en,True,8,2,8,skoda-offset+sow-editor+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/125-years-of-racing-history-in-one-place-come-visit-the-museum/,en,True,8,2,10,sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+sow-editor,,no
https://www.skoda-storyboard.com/en/emobility/a-true-czech-from-spain/,en,True,13,9,12,skoda-carousel-widget+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset,,no
https://www.skoda-storyboard.com/en/emobility/meet-the-peaq-a-large-suv-with-outstanding-aerodynamics/,en,True,8,2,5,skoda-offset+sow-editor+sow-editor+sow-editor+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/get-your-car-ready-for-summer-with-skoda-accessories/,en,True,8,2,11,skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget,,no
https://www.skoda-storyboard.com/en/emobility/whats-behind-epiq-design/,en,True,13,8,3,sow-editor+skoda-offset+skoda-carousel-widget,,no
https://www.skoda-storyboard.com/en/skoda-world/come-cheer-and-sing-along-meet-the-karaoke-car/,en,True,23,16,2,skoda-carousel-widget+sow-editor,,no
https://www.skoda-storyboard.com/en/emobility/this-is-epiq-a-behind-the-scenes-look-at-the-premiere/,en,True,18,11,14,sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-offset+sow-editor+sow-editor+skoda-carousel-widget+skoda-offset,,no
https://www.skoda-storyboard.com/en/emobility/watch-the-world-premiere-of-the-skoda-epiq-ev-live/,en,True,38,26,15,sow-editor+skoda-carousel-widget+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+sow-editor+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/the-evolution-of-hockey-gear-alongside-automobiles/,en,True,8,2,13,skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget,,no
https://www.skoda-storyboard.com/en/emobility/meet-the-peaq-spacious-inside-and-out/,en,True,8,2,8,skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/life-with-a-plug-in-hybrid-a-versatile-companion/,en,True,28,20,14,sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/lifestyle/a-drivers-paradise-just-outside-valencia-and-those-views/,en,True,8,2,6,sow-editor+sow-editor+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/skoda-world/innovation-and-technology/technology/from-your-hands-to-the-road-how-car-steering-works/,en,True,23,14,6,sow-editor+skoda-offset+sow-editor+sow-editor+skoda-offset+sow-editor,,no
https://www.skoda-storyboard.com/en/lifestyle/turtle-window-fountain-warning-indicator-lights-you-may-not-recognise/,en,True,59,38,10,sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+skoda-offset+sow-editor+skoda-carousel-widget+sow-editor+sow-editor,,no
